time,symbol,text,raw_text,url,src_sentiment,raw_title,source_name,sentiment
2018-04-24 20:00:00-04:00,TWTR,twitter sees boost ad revenue ark invest analyst james wang barron senior editor tiernan ray twitter first quarter results outlook,ARK Invest Analyst James Wang and Barron's Senior Editor Tiernan Ray on Twitter's first-quarter results and outlook.,https://www.youtube.com/watch?v=Wy2lMCWuTWA,Neutral,Twitter sees boost in 1Q ad revenue,Fox Business,0
2018-04-24 20:00:00-04:00,TWTR,twitter founder jack dorsey deserves nice tweet results twitter founder ceo jack dorsey give pat back wednesday,Twitter founder and CEO Jack Dorsey should give himself a pat on the back Wednesday.,https://www.youtube.com/watch?v=FF3Ga2w-8sQ,Neutral,Twitter Founder Jack Dorsey Deserves a Nice Tweet After Q1 Results,The Street,0
2018-04-24 20:00:00-04:00,TWTR,twitter beats earnings estimates sales surge twitter inc reported first quarter results beat analyst expectations including largest jump sales two years bloomberg selina wang darren chervitz portfolio manager jacob asset management examine results bloomberg daybreak americas,"Twitter Inc. reported first-quarter results that beat analyst expectations, including the largest jump in sales in two years. Bloomberg's Selina Wang and Darren Chervitz, portfolio manager at Jacob Asset Management, examine the results on Bloomberg Daybreak: Americas.",https://www.youtube.com/watch?v=t1q8mCFaDu8,Neutral,Twitter Beats 1Q Earnings Estimates as Sales Surge 21%,Bloomberg Technology,0
2018-04-24 20:00:00-04:00,TWTR,twitter cfo thrilled latest quarter open regulation twitter beat estimates quarter warns revenue may slow second half year twitter cfo ned segal sits emily chang discuss latest quarter regulation u momentum,"Twitter beat estimates this quarter, but warns that revenue may slow in the second half of the year.  Twitter CFO, Ned Segal,  sits down with Emily Chang to discuss the latest quarter, regulation and the U.S. momentum.",https://www.youtube.com/watch?v=455WiduSb7Y,Neutral,"Twitter CFO 'Thrilled' With Latest Quarter, Open to Regulation",Bloomberg Markets and Finance,0
2018-04-24 20:00:00-04:00,TWTR,jim cramer caterpillar boeing twitter texas instruments thestreet founder action alerts plus portfolio manager jim cramer weighs wednesday trending stocks floor new york stock exchange including caterpillar cat boeing ba twitter twtr texas instruments ti,"TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer weighs in on Wednesday's trending stocks from the floor of the New York Stock Exchange including Caterpillar (CAT , Boeing (BA), Twitter (TWTR), and Texas Instruments (TI).",https://www.youtube.com/watch?v=42f_WJf6Vz0,Neutral,"Jim Cramer on Caterpillar, Boeing, Twitter and Texas Instruments",The Street,0
2018-04-30 20:00:00-04:00,TWTR,twitter espn team exclusive social media sports content matt derella global vice president revenue content partnerships twitter discusses company new content deals espn media outlets speaks bloomberg jonathan ferro bloomberg markets open,"Matt Derella, global vice president for revenue and content partnerships at Twitter, discusses the company's new content deals with ESPN and other media outlets. He speaks with Bloomberg's Jonathan Ferro on Bloomberg Markets: The Open.",https://www.youtube.com/watch?v=NzqMaopNzwo,Neutral,"Twitter, ESPN Team for Exclusive Social Media Sports Content",Bloomberg Technology,1
2018-05-02 20:00:00-04:00,TWTR,twitter urges users change passwords glitch kadina group president gary b smith maxfunds com co founder max jonas ferris twitter urging users change passwords due glitch,Kadina Group President Gary B. Smith and MAXfunds.com co-founder Max Jonas Ferris on how Twitter is urging users to change their passwords due to a glitch.,https://www.youtube.com/watch?v=g-0tEs3GxRM,Neutral,Twitter urges users to change their passwords after glitch,Fox Business,0
2018-05-15 20:00:00-04:00,TWTR,twitter twtr farmer bros farm today bull bear today bull bear,Today's Bull & Bear,https://www.youtube.com/watch?v=IuZh7_6HUIc,Neutral,Twitter (TWTR) and Farmer Bros (FARM): Today's Bull & Bear,Zacks Investment Research,0
2018-06-04 20:00:00-04:00,TWTR,jim cramer markets tech stocks carnival corporation thestreet founder action alerts plus portfolio manager jim cramer weighs tuesday trending market topics floor new york stock exchange including carnival corporation wyndham hotels resorts twitter,"TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer weighs in on Tuesday's trending market topics from the floor of the New York Stock Exchange including Carnival Corporation, Wyndham Hotels & Resorts, and Twitter.",https://www.youtube.com/watch?v=wvCda_KhzVk,Neutral,"Jim Cramer on the Markets, Tech Stocks and Carnival Corporation",The Street,1
2018-06-07 20:00:00-04:00,TWTR,stocks planes trains energy tech halftime report traders give top stocks watch second half day,"The ""Halftime Report"" traders give their top stocks to watch for the second half of the day.",https://www.youtube.com/watch?v=e5hnQ6phcdw,Neutral,"4 Stocks: Planes, Trains, Energy & Tech",CNBC,0
2018-06-11 20:00:00-04:00,TWTR,jim cramer north korea restoration hardware twitter square thestreet founder action alerts plus portfolio manager jim cramer weighs tuesday trending market topics floor new york stock exchange including historic north korea summit surge restoration hardware square twitter,"TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer weighs in on Tuesday's trending market topics from the floor of the New York Stock Exchange including the historic North Korea summit and the surge of Restoration Hardware, Square, and Twitter.",https://www.youtube.com/watch?v=DjzIRo3F2JY,Neutral,"Jim Cramer on North Korea, Restoration Hardware, Twitter and Square",The Street,1
2018-07-08 20:00:00-04:00,TWTR,twitter purges fake accounts stock slides cnbc jon fortt morgan brennan wilfred frost discuss twitter shares today decision purge million fake accounts,"CNBC's Jon Fortt, Morgan Brennan and Wilfred Frost discuss why Twitter shares are down today after the decision to purge 70 million fake accounts.",https://www.youtube.com/watch?v=2jOUIl6-SuY,Neutral,Twitter purges fake accounts as stock slides,CNBC Television,0
2018-07-08 20:00:00-04:00,TWTR,twitter sinks reports bot purge cnbc josh lipton reports twitter share sinking purging millions fake accounts,CNBC's Josh Lipton reports on Twitter share sinking after purging millions of fake accounts.,https://www.youtube.com/watch?v=d5NNrI55z-g,Neutral,Twitter sinks after reports of bot purge,CNBC Television,0
2018-07-10 20:00:00-04:00,TWTR,former twitter ceo comments twitter follower purge former twitter ceo dick costolo says follower purge likely alienate users also discusses future media mergers acquisitions,Former Twitter CEO Dick Costolo says the follower purge will likely not alienate users. He also discusses the future of media mergers and acquisitions.,https://www.youtube.com/watch?v=d-KDEvsgICM,Neutral,Former Twitter CEO comments on Twitter's follower purge,CNBC Television,0
2018-07-11 20:00:00-04:00,TWTR,final trade twtr cbs fast money traders share final trades day including twitter jpmorgan cbs kre regional bank etf,"The ""Fast Money"" traders share their final trades of the day, including Twitter, JPMorgan, CBS and the KRE (regional bank) ETF.",https://www.youtube.com/watch?v=-iyzERb52WE,Neutral,"Final Trade: TWTR, CBS & more",CNBC Television,1
2018-07-22 20:00:00-04:00,TWTR,fabulous earnings charts hottest tech stocks hot year five big technology names looking soar even greater heights earnings season,"They've been hot all year, and now these five big technology names are looking to soar to even greater heights this earnings season.",https://www.youtube.com/watch?v=f_YcSdhN4MY,Neutral,The Fabulous Earnings Charts of the 5 Hottest Tech Stocks,Zacks Investment Research,0
2018-07-25 20:00:00-04:00,TWTR,nasdaq tumbles facebook forecast cnbc bob pisani takes look moving early morning trading facebook shares plunge amid profit margin concerns,CNBC's Bob Pisani takes a look at what's moving in early morning trading as Facebook shares plunge amid profit margin concerns.,https://www.youtube.com/watch?v=uoNRqrMHbE8,Neutral,Nasdaq tumbles after Facebook forecast,CNBC Television,-1
